Frame;Clase;ID;Xmin;Ymin;Xmax;Ymax
7;pedestrian;12;1385.176758;728.808777;1413.101929;803.388245
7;pedestrian;13;3.113075;584.088501;35.795181;645.843811
7;car;14;639.561340;361.411194;676.250671;388.513153
7;car;15;782.715515;377.080566;831.231262;407.984955
7;car;16;349.179901;370.669556;425.439941;400.298218
7;car;17;291.445587;324.594055;340.189758;350.283783
7;car;18;126.558670;343.573578;180.352661;377.731079
7;car;19;1712.686157;590.167969;1822.032104;661.417664
7;car;20;73.507027;344.484833;123.714226;377.115356
7;car;21;508.475800;339.010498;548.179688;363.842194
7;car;22;1568.827759;545.779297;1651.792480;609.077820
7;car;23;1788.450928;507.058258;1844.970947;549.255371
7;car;24;1219.557861;425.072876;1313.014648;461.835968
7;car;25;1826.565063;597.549011;1905.121338;667.336609
7;car;26;1866.903198;512.248535;1920.000000;554.149658
7;car;27;1112.550537;326.360291;1139.311157;347.920685
7;car;28;1107.998047;307.437256;1129.844360;323.352081
7;car;29;205.834854;338.423920;275.461884;365.741699
7;car;30;48.555458;315.382141;104.764519;341.821777
7;car;31;300.541107;350.103241;355.302002;386.056122
7;car;33;14.586079;325.206909;74.437454;351.236481
7;car;34;1804.666870;482.741608;1852.614990;521.047791
7;car;35;0.000000;327.646606;45.806053;357.444641
7;car;36;741.167664;373.666199;782.707336;408.599823
7;car;37;1487.964966;489.609100;1565.773071;539.702637
7;car;39;1602.454346;482.324341;1649.988770;516.822144
7;car;40;672.218689;378.287170;714.410217;404.212952
7;car;41;1853.375610;558.713684;1917.341553;604.870972
7;car;42;1562.432251;487.982819;1622.920288;538.572754
7;car;43;1619.922974;529.031006;1712.489380;574.449219
7;car;44;1880.937744;591.968872;1920.000000;656.038086
7;car;45;1099.037354;284.744873;1123.653931;300.457214
7;car;46;1639.403931;545.576294;1750.642456;602.019104
7;car;47;261.866333;318.979279;307.509338;346.940735
7;car;48;1089.725586;257.744324;1106.440308;270.038391
7;car;49;1678.175781;492.504364;1749.301392;543.477661
7;car;50;1078.555298;382.408112;1110.962158;410.028625
7;car;51;1043.427979;281.503723;1062.030396;298.320801
7;car;53;1735.132690;551.565796;1832.022583;610.761658
7;car;55;401.548492;357.369507;465.763702;388.688110
7;pedestrian;38;361.885376;644.142944;395.800476;708.340637
8;car;1;922.263794;759.144531;1023.257812;908.223389
8;car;2;1080.094360;617.698486;1152.875244;707.064819
8;car;3;954.257690;589.377441;1019.573975;661.149719
8;car;4;977.134888;504.368011;1034.421875;562.880676
8;car;5;1072.511353;413.384003;1108.061035;449.502472
8;car;6;1151.781738;487.524414;1207.942749;543.935974
8;car;7;1011.756409;369.117615;1042.445557;397.914215
8;car;8;551.382202;367.502960;610.242249;400.027985
8;car;9;1773.618042;711.217102;1919.320923;801.890015
8;car;10;1627.258789;578.786255;1723.041382;654.374084
8;car;11;1074.533691;316.633698;1093.138306;334.430634
8;pedestrian;12;1385.175903;728.792175;1413.037476;802.882324
8;pedestrian;13;2.969476;583.970276;36.220684;646.116028
8;car;14;639.470581;361.273193;676.256348;388.493042
8;car;15;782.800354;377.130280;831.306824;408.008881
8;car;16;349.091583;370.583954;425.542450;400.283539
8;car;17;291.665619;324.599976;340.301697;350.229919
8;car;18;127.000061;343.671814;180.371063;377.762024
8;car;19;1712.818970;589.989197;1822.200562;661.178040
8;car;20;73.543449;344.294189;124.076752;377.109161
8;car;21;508.607300;338.977600;548.395081;363.771362
8;car;22;1571.249756;545.653259;1654.296631;608.924011
8;car;23;1788.510132;506.646820;1845.128418;549.071594
8;car;24;1218.928467;424.427368;1312.641846;461.378418
8;car;25;1824.591675;596.782776;1904.303955;667.212463
8;car;26;1866.990234;512.115784;1920.000000;554.514954
8;car;27;1112.793213;326.535767;1139.595459;348.216980
8;car;28;1108.370972;307.535339;1129.986938;323.350677
8;car;29;205.981598;338.441040;275.333771;365.639313
8;car;30;49.752411;315.642273;105.775841;341.913879
8;car;31;300.689941;350.086029;355.405823;386.079193
8;car;33;14.780386;325.501526;74.770287;351.584442
8;car;34;1804.732910;482.783630;1852.548950;521.148254
8;car;35;0.000000;327.587433;45.616360;357.361084
8;car;36;741.030334;373.535370;782.715759;408.559143
8;car;37;1487.503174;489.331421;1565.354004;539.485046
